task,optimizer,optimizer_name,seed,n_trials,final_incumbent_regret,best_y_true,mean_eval_time
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,25,50,0.22744242431783981,0.22744242431783981,0.0003818941116333008
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,26,50,0.9998775919621,0.9998775919621,0.00035738468170166016
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,27,50,0.43078610672695694,0.43078610672695694,0.0003212785720825195
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,28,50,0.015577672741400022,0.015577672741400022,0.0003351736068725586
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,29,50,0.1249603213222007,0.1249603213222007,0.00038416385650634765
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,30,50,0.001355448901659134,0.001355448901659134,0.00036728858947753906
rosenbrock_4d,baseline,SMAC3 Baseline (EI),1,50,519.4737006498941,519.4737006498941,0.0005153322219848633
rosenbrock_4d,baseline,SMAC3 Baseline (EI),2,50,16.435152009732114,16.435152009732114,0.0005144262313842773
rosenbrock_4d,baseline,SMAC3 Baseline (EI),3,50,1975.7736221226628,1975.7736221226628,0.0005059528350830078
rosenbrock_4d,baseline,SMAC3 Baseline (EI),4,50,179.00447118668683,179.00447118668683,0.00045660972595214846
rosenbrock_4d,baseline,SMAC3 Baseline (EI),5,50,979.9231817846896,979.9231817846896,0.00052337646484375
rosenbrock_4d,baseline,SMAC3 Baseline (EI),6,50,242.6042385494665,242.6042385494665,0.0005257463455200195
rosenbrock_4d,baseline,SMAC3 Baseline (EI),7,50,496.1189442607749,496.1189442607749,0.0004741096496582031
rosenbrock_4d,baseline,SMAC3 Baseline (EI),8,50,293.255468523388,293.255468523388,0.0004964208602905273
rosenbrock_4d,baseline,SMAC3 Baseline (EI),9,50,407.2867182287132,407.2867182287132,0.0004657459259033203
rosenbrock_4d,baseline,SMAC3 Baseline (EI),10,50,215.1999876606899,215.1999876606899,0.0004884195327758789
rosenbrock_4d,baseline,SMAC3 Baseline (EI),11,50,102.11667162159924,102.11667162159924,0.0005158662796020507
rosenbrock_4d,baseline,SMAC3 Baseline (EI),12,50,66.35581650431374,66.35581650431374,0.0004753828048706055
rosenbrock_4d,baseline,SMAC3 Baseline (EI),13,50,946.8317463541026,946.8317463541026,0.0004552221298217773
rosenbrock_4d,baseline,SMAC3 Baseline (EI),14,50,632.5662599604859,632.5662599604859,0.00048703670501708984
rosenbrock_4d,baseline,SMAC3 Baseline (EI),15,50,1230.3682776580188,1230.3682776580188,0.0005414342880249024
