task,optimizer,optimizer_name,seed,trial,cost,y_true,sigma_true,instantaneous_regret,incumbent_regret,noise_residual,time,config
ackley_2d,baseline,SMAC3 Baseline (EI),1,13,5.001121495458878,5.822143006296038,0.3078041145995366,5.822143006296038,4.025450319428931,-0.8210215108371601,0.0003161430358886719,"[1.360657622306, -1.0307952106278]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,14,3.564824272328913,3.6595528885444293,0.20852054661384017,3.6595528885444293,3.6595528885444293,-0.09472861621551651,0.0005023479461669922,"[0.9436713259328, -1.0192680850034]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,15,11.492778686493715,11.348104784483338,0.5761498984630945,11.348104784483338,3.6595528885444293,0.14467390201037672,0.0003311634063720703,"[3.0580203630021, 4.9879362508965]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,16,6.148938557630772,6.286701830335076,0.3298583783365916,6.286701830335076,3.6595528885444293,-0.1377632727043038,0.0005185604095458984,"[1.5651768973138, -0.8878702172852]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,17,11.126011042846363,10.129190414298446,0.5162375868946282,10.129190414298446,3.6595528885444293,0.9968206285479173,0.00045180320739746094,"[3.9666502840616, 2.9702840730779]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,18,9.01374674952423,8.661906793421307,0.4444902397632545,8.661906793421307,3.6595528885444293,0.35183995610292385,0.0005695819854736328,"[-0.5520453452284, -2.9761840818833]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,19,4.145880967404501,4.574214033295977,0.2496168765448455,4.574214033295977,3.6595528885444293,-0.4283330658914759,0.00032401084899902344,"[0.8075138363611, -0.6018716614427]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,20,4.56055401800698,4.519174857345725,0.24709786214810597,4.519174857345725,3.6595528885444293,0.04137916066125493,0.0006425380706787109,"[0.8354352496499, -0.665934001307]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,21,5.839834923390367,6.173463884899977,0.3244674727078368,6.173463884899977,3.6595528885444293,-0.3336289615096111,0.00040411949157714844,"[1.0168957360796, -1.467507847321]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,22,5.857999356383234,6.155998188356403,0.32363680915127424,6.155998188356403,3.6595528885444293,-0.29799883197316857,0.0005841255187988281,"[0.9821503767704, -1.4781678124138]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,23,6.025988729977648,6.007136746613387,0.31656631174413075,6.007136746613387,3.6595528885444293,0.018851983364261006,0.0006535053253173828,"[0.9117637707096, -1.4290456308795]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,24,5.6027268748601715,5.744590154948881,0.304139425462795,5.744590154948881,3.6595528885444293,-0.1418632800887092,0.0004363059997558594,"[1.0729132470003, -1.3229487547283]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,25,6.838741604035416,6.490175308725089,0.33956728176454515,6.490175308725089,3.6595528885444293,0.3485662953103277,0.0005810260772705078,"[1.1487353156065, -1.4518526461013]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,26,5.592707192495075,5.797819938365251,0.3066541864939465,5.797819938365251,3.6595528885444293,-0.20511274587017636,0.0005393028259277344,"[0.944118162204, -1.3749923619963]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,27,12.118580681880603,12.355184654569621,0.6258006628482281,12.355184654569621,3.6595528885444293,-0.23660397268901753,0.0006957054138183594,"[3.436705995211, -3.5145731085496]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,28,6.083263638270359,6.334826968064956,0.33215219672359175,6.334826968064956,3.6595528885444293,-0.251563329794597,0.0007688999176025391,"[1.1312881550405, -1.4179203652457]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,29,6.078176247098235,5.992741281421463,0.3158834756126575,5.992741281421463,3.6595528885444293,0.08543496567677235,0.0006086826324462891,"[0.9376374636118, -1.4263030525217]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,30,5.727354725129386,5.945544782552755,0.31364591006954123,5.945544782552755,3.6595528885444293,-0.2181900574233694,0.0005497932434082031,"[0.9418978801551, -1.4124621955529]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,31,4.4480327813769485,4.3828424800261345,0.24088019950133738,4.3828424800261345,3.6595528885444293,0.06519030135081363,0.0005469322204589844,"[1.0179711715896, 0.7409950772922]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,32,6.192766895593746,6.659725747820254,0.34767782153949667,6.659725747820254,3.6595528885444293,-0.46695885222650824,0.0007312297821044922,"[-1.2462602389945, 1.3863431824604]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,33,5.92511364856286,6.0462596643732525,0.31842289462688983,6.0462596643732525,3.6595528885444293,-0.12114601581039272,0.0005393028259277344,"[0.9326296556216, -1.4434544674332]"
